dt,num_mentions
"2014-1-29","66"
"2015-7-22","89"
"2011-10-1","18"
"2013-12-4","68"
"2009-2-1","4"
"2009-12-20","7"
"2016-8-14","35"
"2014-5-11","31"
"2009-4-14","3"
"2018-4-19","108"
"2013-7-14","34"
"2012-8-1","33"
"2012-12-19","48"
"2016-9-27","94"
"2012-12-30","28"
"2019-3-11","166"
"2019-2-3","87"
"2019-5-18","72"
"2012-1-1","10"
"2012-4-22","30"
"2016-7-31","45"
"2017-10-18","133"
"2012-5-27","17"
"2017-10-8","77"
"2016-4-1","93"
"2016-1-7","90"
"2013-3-16","32"
"2014-10-3","44"
"2009-12-13","4"
"2013-4-5","69"
"2010-6-4","12"
"2017-4-1","67"
"2013-6-7","55"
"2017-6-12","115"
"2019-2-7","139"
"2009-7-22","5"
"2015-4-12","43"
"2010-1-5","11"
"2012-1-19","24"
"2010-11-14","14"
"2013-1-14","32"
"2013-9-23","55"
"2016-1-19","76"
"2009-3-30","4"
"2013-2-10","31"
"2015-3-15","61"
"2014-2-28","78"
"2013-7-22","55"
"2009-1-8","2"
"2011-9-23","31"
"2018-6-19","123"
"2018-1-19","96"
"2011-2-13","12"
"2017-8-28","109"
"2016-6-5","47"
"2016-9-8","77"
"2018-6-27","136"
"2012-7-26","47"
"2014-10-23","81"
"2017-8-18","97"
"2016-3-26","48"
"2017-9-29","105"
"2014-4-26","39"
"2016-1-23","44"
"2009-2-14","1"
"2018-6-10","62"
"2009-7-11","1"
"2015-6-16","95"
"2011-6-19","10"
"2017-8-25","100"
"2010-12-12","11"
"2018-12-1","72"
"2012-1-6","25"
"2011-9-14","29"
"2014-7-10","72"
"2009-3-10","7"
"2017-3-22","104"
"2015-8-9","30"
"2013-10-16","75"
"2011-5-6","26"
"2012-12-18","33"
"2013-4-26","68"
"2017-5-19","117"
"2014-9-1","56"
"2012-2-13","24"
"2011-7-10","13"
"2016-11-19","72"
"2010-3-2","13"
"2012-11-26","34"
"2017-6-8","128"
"2019-3-20","167"
"2016-5-7","49"
"2017-3-23","115"
"2019-6-17","110"
